納品日,取引先コード,VDRコード,取引先名(漢字),商品コード,便,JANコード,JAN区分,商品名(漢字),DEPT-CLASS,センター入数,パック入数,JANコード下4桁,商品名(カナ)
20231226,126608,221449,㈱ＳＣＩ（サンデリカ千葉）　　　　　　　　　　　　,006154,1,2300615400000,14,ＩＣＨＩＢＩＫＯ追い苺ホイップ＆チーズサンド,02003,1,0,6154,ｲﾁﾋﾞｺ ｵｲｲﾁｺﾞﾎｲｯﾌﾟ&ﾁｰｽﾞ,
20231226,119032,200310,三菱食品㈱　（アクセス）　　　　　　　　　　　　　,006331,1,4580455817515,1,スパイス香るパンプキンラテ　　１２本　　　　,12009,12,12,7515,*12*ｽﾊﾟｲｽｶｵﾙﾊﾟﾝﾌﾟｷﾝﾗﾃ ,
20231226,126608,221449,㈱ＳＣＩ（サンデリカ千葉）　　　　　　　　　　　　,006463,1,2300646300000,14,ＩＣＨＩＢＩＫＯ監修　苺＆ホイップサンド　　,02003,1,0,6463,ｲﾁﾋﾞｺ ｲﾁｺﾞ&ﾎｲｯﾌﾟｻﾝﾄﾞ  ,
20231226,126608,221449,㈱ＳＣＩ（サンデリカ千葉）　　　　　　　　　　　　,006584,1,2300658400000,14,フルーツサンド　フルーツミックス　　　　　　,02003,15,0,6584,ﾌﾙｰﾂｻﾝﾄﾞ  ﾌﾙｰﾂﾐｯｸｽ    ,
20231226,119032,200310,三菱食品㈱　（アクセス）　　　　　　　　　　　　　,006626,1,4580455816822,1,３月のライオン　黒蜜きなこラテ１８０ｍｌ　　,12009,12,0,6822,3ｶﾞﾂﾉﾗｲｵﾝ ｸﾛﾐﾂｷﾅｺﾗﾃ   ,
20231226,121908,743984,㈱ＳＣＩ（フレッシュダイナー）　　　　　　　　　　,006741,1,2300674100000,14,もったいない手巻寿司海老わさび醤油　　　　　,01005,40,0,6741,ﾓｯﾀｲﾅｲﾃﾏｷ ｴﾋﾞﾜｻﾋﾞｼｮｳﾕ ,
20231226,126951,218863,㈱ＳＣＩ（日本クッカリー厚木）　　　　　　　　　　,007615,1,2300761500000,14,三陸産鮭使用　焼鮭幕の内　　　　　　　　　　,01001,10,0,7615,ｻﾝﾘｸｻﾝｻｹｼﾖｳｻｹﾏｸﾉｳﾁ    ,
20231226,119032,200310,三菱食品㈱　（アクセス）　　　　　　　　　　　　　,007801,1,4932707234074,1,カフェラテ　カフェイン　　　　２００ｍｌ　　,12009,12,0,4074,ｶﾌｪﾗﾃ ｶﾌｪｲﾝ           ,
20231226,119032,236071,三菱食品㈱　（アクセス）　　　　　　　　　　　　　,007983,1,4901306005156,1,●野菜一日これ一本トリプルケア２４本　　　　,12002,24,24,5156,*24*ﾔｻｲｲﾁﾆﾁｺﾚｲｯﾎﾟﾝﾄﾘﾌﾟ,
20231226,119032,200310,三菱食品㈱　（アクセス）　　　　　　　　　　　　　,008167,1,4966355010704,1,●果汁１００％　巨峰ミックス　３３０ｍｌ　　,12002,12,0,0704,ｶｼﾞｭｳ100% ｷｮﾎｳﾐｯｸｽ    ,
20231226,122904,236241,㈱明治　東京　　　　　　　　　　　　　　　　　　　,008318,1,4902705033863,1,●明治ザバスミルクプロテインミルク２００ｍｌ,12003,24,0,3863,ﾒｲｼﾞ ｻﾞﾊﾞｽﾐﾙｸﾌﾟﾛﾃｲﾝﾐﾙｸ,
20231226,123609,236080,森永乳業㈱東京支社　　　　　　　　　　　　　　　　,008938,1,4902720153775,1,●森永　睡眠改善　　　　　　　　１２５ｍｌ　,12002,24,0,3775,ﾓﾘﾅｶﾞ ｽｲﾐﾝｶｲｾﾞﾝ       ,
20231226,126420,251496,㈱ＳＣＩ（サンデリカ野田）　　　　　　　　　　　　,009231,1,2300923100000,14,Ｌハムたまご＆ツナチーズサンド　　　　　　　,02007,25,0,9231,ﾊﾑﾀﾏｺﾞ&ﾂﾅﾁｰｽﾞｻﾝﾄﾞ     ,
20231226,119032,236071,三菱食品㈱　（アクセス）　　　　　　　　　　　　　,009311,1,4901306006894,1,●野菜生活有田みかんミックス　２４本　　　　,12002,24,24,6894,*24*ﾔｻｲｾｲｶﾂｱﾘﾀﾞﾐｶﾝ    ,
20231226,122904,236241,㈱明治　東京　　　　　　　　　　　　　　　　　　　,009485,1,4549737102404,1,●明治ザバスミルクココア　　　２４本　　　　,12003,24,24,2404,*24*ﾒｲｼﾞ ｻﾞﾊﾞｽﾐﾙｸｺｺｱ  ,
20231226,120341,237868,安曇野食品工房㈱　　　　　　　　　　　　　　　　　,009639,1,4560338756230,1,◎●ＮＬのむヨーグルトプレーン２７０ｇ　　　,12009,8,0,6230,NLﾉﾑﾖｰｸﾞﾙﾄﾌﾟﾚｰﾝ       ,
20231226,126420,251496,㈱ＳＣＩ（サンデリカ野田）　　　　　　　　　　　　,010130,1,2301013000000,14,●Ｌ肉サンド　ローストチキン　　　　　　　　,02007,15,0,0130,ﾆｸｻﾝﾄﾞ ﾛｰｽﾄﾁｷﾝ        ,
20231226,122904,236241,㈱明治　東京　　　　　　　　　　　　　　　　　　　,010807,1,4549737102916,1,●明治ザバスミルクバナナ　　　２４本　　　　,12003,24,24,2916,*24*ﾒｲｼﾞ ｻﾞﾊﾞｽﾐﾙｸﾊﾞﾅﾅ ,
20231226,126608,221449,㈱ＳＣＩ（サンデリカ千葉）　　　　　　　　　　　　,012883,1,2301288300000,14,●Ｌメンチカツバーガー　　　　　　　　　　　,02006,9,0,2883,ﾒﾝﾁｶﾂﾊﾞｰｶﾞｰ           ,
20231226,125121,219444,㈱ＳＣＩ（グルメデリカ所沢工場）　　　　　　　　　,013698,1,2301369800000,14,●北海道十勝産小豆使用　赤飯おこわ　　　　　,01007,50,0,3698,ｾｷﾊﾝｵｺﾜｵﾆｷﾞﾘ          ,
20231226,119032,236071,三菱食品㈱　（アクセス）　　　　　　　　　　　　　,013893,1,4901306006887,1,●野菜生活有田みかんミックス　１９５ｍｌ　　,12002,24,0,6887,ﾔｻｲｾｲｶﾂｱﾘﾀﾞﾐｶﾝﾐｯｸｽ    ,
20231226,121347,236683,㈱東京めいらく　　　　　　　　　　　　　　　　　　,014502,1,4902188125031,1,スジャータ　苺ミックススムージー　２００ｇ　,12009,12,0,5031,ｽｼﾞｬｰﾀ ｲﾁｺﾞﾐｯｸｽｽﾑｰｼﾞｰ ,
20231226,122785,236381,雪印メグミルク㈱　関東　　　　　　　　　　　　　　,014647,1,4908011707597,1,雪印　３９品目の野菜＆フルーツ４５０ｍｌ　　,12002,20,0,7597,ﾕｷｼﾞﾙｼ 39ﾋﾝﾓｸﾉﾔｻｲ&ﾌﾙｰﾂ,
20231226,122904,236241,㈱明治　東京　　　　　　　　　　　　　　　　　　　,014797,1,4902705095991,1,●明治ＬＧ２１ドリンク低糖低カロリー１１２ｇ,12003,24,0,5991,ﾒｲｼﾞLG21ﾄﾞﾘﾝｸﾃｲﾄｳﾃｲｶﾛﾘ,
20231226,121908,743950,㈱ＳＣＩ（フレッシュダイナー）　　　　　　　　　　,015588,1,2301558800000,14,●だしおにぎり（切昆布と生たらこ）　　　　　,01007,50,0,5588,ﾀﾞｼｵﾆｷﾞﾘ ｷﾘｺﾝﾌﾞﾄﾅﾏﾀﾗｺ ,
20231226,124508,237515,㈱ＹＫベーキングカンパニー　　　　　　　　　　　　,016417,1,4549737091852,1,ＬＷ　明太もちチーズ　Ｃ　　　　　　　　　　,14003,1,0,1852,LW ﾒﾝﾀｲﾓﾁﾁｰｽﾞ         ,
20231226,119032,200310,三菱食品㈱　（アクセス）　　　　　　　　　　　　　,016498,1,4580455816310,1,ダルゴナコーヒーテイスト　　　２２０ｍｌ　　,12009,12,0,6310,ﾀﾞﾙｺﾞﾅｺｰﾋｰﾃｲｽﾄ        ,
20231226,121908,743984,㈱ＳＣＩ（フレッシュダイナー）　　　　　　　　　　,016676,1,2301667600000,14,●細巻納豆１２巻　　　　　　　　　　　　　　,01005,20,0,6676,ﾎｿﾏｷﾅｯﾄｳ12ｶﾝ          ,
20231226,123358,236349,江崎グリコ㈱　　　　　　　　　　　　　　　　　　　,017444,1,4971666489651,1,◎グリコ　マイルドカフェオーレ５００ｍｌ　　,12004,20,0,9651,ｸﾞﾘｺﾏｲﾙﾄﾞｶﾌｪｵｰﾚ500ML  ,
20231226,121908,743950,㈱ＳＣＩ（フレッシュダイナー）　　　　　　　　　　,017506,1,2301750600000,14,七種具材の恵方巻　　　　　　　　　３１日１便,01005,1,0,7506,ﾅﾅｼｭｸﾞｻﾞｲﾉｴﾎｳﾏｷ  31ﾆﾁ1,
20231226,118931,254363,三菱食品㈱　　　　　　　　　　　　　　　　　　　　,018441,1,4902188227421,1,ピクミンりんごミックススムージー　１９０ｇ　,12009,12,0,7421,ﾋﾟｸﾐﾝﾘﾝｺﾞﾐｯｸｽｽﾑｰｼﾞｰ   ,
20231226,124508,237515,㈱ＹＫベーキングカンパニー　　　　　　　　　　　　,019078,1,4549737102435,1,ＬＷ　三角チョコパイ　Ｃ　　　　　　　　　　,14002,1,0,2435,LW ｻﾝｶｸﾁｮｺﾊﾟｲ         ,
20231226,121908,743984,㈱ＳＣＩ（フレッシュダイナー）　　　　　　　　　　,019088,1,2301908800000,14,手巻寿司納豆　　　　　　　　　　　　　　　　,01005,40,0,9088,ﾃﾏｷｽｼﾅｯﾄｳ             ,
20231226,118931,254363,三菱食品㈱　　　　　　　　　　　　　　　　　　　　,019480,1,4902188227179,1,◎ＵＣいちごミルク　　　　　　３４０ｇ　　　,12009,12,0,7179,UCｲﾁｺﾞﾐﾙｸ             ,
20231226,118931,254363,三菱食品㈱　　　　　　　　　　　　　　　　　　　　,020106,1,4902188927529,1,●ＮＬ白桃１食分のマルチビタミン　１２本　　,12002,12,12,7529,*12*NLﾊｸﾄｳｲｯｼｮｸﾌﾞﾝﾉﾏﾙﾁ,
20231226,125121,228427,㈱ＳＣＩ（グルメデリカ所沢工場）　　　　　　　　　,020350,1,2302035000000,14,いなり３個入　　　　　　　　　　　　　　　　,01005,32,0,0350,ｲﾅﾘ3ｺｲﾘ               ,
20231226,121908,743950,㈱ＳＣＩ（フレッシュダイナー）　　　　　　　　　　,020369,1,2302036900000,14,胡麻さけおにぎり　　　　　　　　　　　　　　,01007,50,0,0369,ｺﾞﾏｻｹｵﾆｷﾞﾘ            ,
20231226,523500,236934,敷島製パン㈱　　　　　　　　　　　　　　　　　　　,021247,1,4901820420459,1,ＬＷ　コーンポテトチーズマフィン　　　　　　,14003,1,0,0459,LWｺｰﾝﾎﾟﾃﾄﾁｰｽﾞﾏﾌｨﾝ     ,
20231226,125121,219444,㈱ＳＣＩ（グルメデリカ所沢工場）　　　　　　　　　,021976,1,2302197600000,14,●北海道十勝産小豆使用　赤飯おこわ　　　　　,01007,50,0,1976,ｾｷﾊﾝｵｺﾜｵﾆｷﾞﾘ          ,
20231226,122785,236381,雪印メグミルク㈱　関東　　　　　　　　　　　　　　,021994,1,4549737072172,1,●ドール１００％オレンジ　２００ｍｌ特別原価,12002,18,18,2172,***ﾄﾞｰﾙ100%ｵﾚﾝｼﾞ      ,
20231226,121908,743950,㈱ＳＣＩ（フレッシュダイナー）　　　　　　　　　　,023619,1,2302361900000,14,わかめごはんおにぎり　　　　　　　　　　　　,01007,50,0,3619,ﾜｶﾒｺﾞﾊﾝｵﾆｷﾞﾘ          ,
20231226,124508,237515,㈱ＹＫベーキングカンパニー　　　　　　　　　　　　,023718,1,4549737041949,1,ＬＷ　スイートポテトパイ　４個入　Ｃ　　　　,14020,12,0,1949,LW ｽｲｰﾄﾎﾟﾃﾄﾊﾟｲ 4ｺｲﾘ   ,
20231226,123609,236080,森永乳業㈱東京支社　　　　　　　　　　　　　　　　,024093,1,4902720157469,1,リプトンアップルティー　　　　４５０ｍｌ　　,12005,20,0,7469,ﾘﾌﾟﾄﾝ ｱｯﾌﾟﾙﾃｨｰ        ,
20231226,118931,240052,三菱食品㈱　　　　　　　　　　　　　　　　　　　　,024421,1,4901277253716,1,エルビー　マンゴーラッシー　　２４本　　　　,12002,24,24,3716,*24*ｴﾙﾋﾞｰ ﾏﾝｺﾞｰﾗｯｼｰ   ,
20231226,118931,240052,三菱食品㈱　　　　　　　　　　　　　　　　　　　　,024492,1,4562343100000,2,●エルビー　睡眠の質向上ドリンク　１００ｍｌ,12003,30,0,3431,ｴﾙﾋﾞｰｽｲﾐﾝｼﾂｺｳｼﾞｮｳﾄﾞﾘﾝｸ,
20231226,118931,254363,三菱食品㈱　　　　　　　　　　　　　　　　　　　　,024904,1,4902188928403,1,●ＮＬたんぱく質１０ｇトマトスープ　１２本　,12002,12,12,8403,*12*NLﾀﾝﾊﾟｸ10Gﾄﾏﾄｽｰﾌﾟ ,
20231226,118931,271543,三菱食品㈱　　　　　　　　　　　　　　　　　　　　,024951,1,4571447911236,1,◎ＵＣこだわりのほうじ茶ラテ　２４０ｍｌ　　,12009,12,0,1236,UCｺﾀﾞﾜﾘﾉﾎｳｼﾞﾁｬﾗﾃ      ,
20231226,121908,743950,㈱ＳＣＩ（フレッシュダイナー）　　　　　　　　　　,024981,1,2302498100000,14,七種具材の恵方巻　　　　　　　　　１日１便　,01005,1,0,4981,ﾅﾅｼｭｸﾞｻﾞｲﾉｴﾎｳﾏｷ  1ﾆﾁ1 ,
20231226,121908,743950,㈱ＳＣＩ（フレッシュダイナー）　　　　　　　　　　,024985,1,2302498500000,14,七種具材の恵方巻　　　　　　　　　２日１便　,01005,1,0,4985,ﾅﾅｼｭｸﾞｻﾞｲﾉｴﾎｳﾏｷ  2ﾆﾁ1 ,
20231226,121908,743950,㈱ＳＣＩ（フレッシュダイナー）　　　　　　　　　　,024995,1,2302499500000,14,七種具材の恵方巻　　　　　　　　　３日１便　,01005,1,0,4995,ﾅﾅｼｭｸﾞｻﾞｲﾉｴﾎｳﾏｷ  3ﾆﾁ1 ,
20231226,121908,743950,㈱ＳＣＩ（フレッシュダイナー）　　　　　　　　　　,025514,1,2302551400000,14,◇和風シーチキンマヨネーズおにぎり　　　　　,01007,50,0,5514,ﾜﾌｳｼｰﾁｷﾝﾏﾖﾈｰｽﾞｵﾆｷﾞﾘ   ,
20231226,123609,236080,森永乳業㈱東京支社　　　　　　　　　　　　　　　　,025596,1,4902720157483,1,リプトン　チャイティーラテ　　２４０ｍｌ　　,12009,10,0,7483,ﾘﾌﾟﾄﾝ ﾁｬｲﾃｨｰﾗﾃ        ,
20231226,121908,743950,㈱ＳＣＩ（フレッシュダイナー）　　　　　　　　　　,025604,1,2302560400000,14,麺屋一燈監修　柚子香る豚バラおにぎり　　　　,01007,50,0,5604,ﾕｽﾞｶｵﾙﾌﾞﾀﾊﾞﾗｵﾆｷﾞﾘ     ,
20231226,118931,260533,三菱食品㈱　　　　　　　　　　　　　　　　　　　　,026359,1,4972050013957,1,小岩井　コーヒー　　　　　　　５００ｍｌ　　,12004,20,0,3957,ｺｲﾜｲ ｺｰﾋｰ             ,
20231226,118931,254363,三菱食品㈱　　　　　　　　　　　　　　　　　　　　,028542,1,4902188928397,1,●ＮＬたんぱく質１０ｇコーンスープ　１２本　,12002,12,12,8397,*12*NLﾀﾝﾊﾟｸ10Gｺｰﾝｽｰﾌﾟ ,
20231226,123609,236080,森永乳業㈱東京支社　　　　　　　　　　　　　　　　,029255,1,4902720155205,1,リプトンレモンティー　　　　　９００ｍｌ　　,12008,12,0,5205,ﾘﾌﾟﾄﾝ ﾚﾓﾝﾃｨｰ900ML     ,
20231226,118931,254363,三菱食品㈱　　　　　　　　　　　　　　　　　　　　,030004,1,4902188226677,1,ＵＣタピオカミルクティータピオカ増量２４０ｇ,12009,12,0,6677,UCﾀﾋﾟｵｶﾐﾙｸﾃｨｰﾀﾋﾟｿﾞｳﾘｮｳ,
20231226,126608,221449,㈱ＳＣＩ（サンデリカ千葉）　　　　　　　　　　　　,030584,1,2303058400000,14,盛りすぎ！ジューシーハムサンド　　１３日１便,02003,1,0,0584,ﾓﾘｽｷﾞ!ｼﾞｭｰｼｰﾊﾑ   13ﾆﾁ1,
20231226,119032,236071,三菱食品㈱　（アクセス）　　　　　　　　　　　　　,030846,1,4901306003862,1,●野菜生活沖縄パインミックス　２４本　　　　,12002,24,24,3862,*24*ﾔｻｲｾｲｶﾂｵｷﾅﾜﾊﾟｲﾝ   ,
20231226,118931,254363,三菱食品㈱　　　　　　　　　　　　　　　　　　　　,030934,1,4902188226202,1,◎●ＮＬグリーンスムージー　　２００ｇ　　　,12009,12,0,6202,NLｸﾞﾘｰﾝｽﾑｰｼﾞｰ200G     ,
20231226,126951,218863,㈱ＳＣＩ（日本クッカリー厚木）　　　　　　　　　　,031689,1,2303168900000,14,三陸産鮭使用　焼鮭のっけ盛り弁当　　　　　　,01001,1,0,1689,ｻﾝﾘｸｻﾝｻｹﾉｯｹﾓﾘﾍﾞﾝﾄｳ    ,
20231226,118931,254363,三菱食品㈱　　　　　　　　　　　　　　　　　　　　,031785,1,4902188126250,1,◎●ＮＬグリーンスムージＯＮＥＤＡＹ２００ｇ,12009,12,0,6250,NLｸﾞﾘｰﾝｽﾑｰｼﾞｰONEDAY   ,
20231226,126608,221449,㈱ＳＣＩ（サンデリカ千葉）　　　　　　　　　　　　,031786,1,2303178600000,14,盛りすぎ！ジューシーハムサンド　　１４日１便,02003,1,0,1786,ﾓﾘｽｷﾞ!ｼﾞｭｰｼｰﾊﾑ   14ﾆﾁ1,
20231226,123609,236080,森永乳業㈱東京支社　　　　　　　　　　　　　　　　,031867,1,4902720155229,1,リプトンミルクティー　　　　　９００ｍｌ　　,12008,12,0,5229,ﾘﾌﾟﾄﾝ ﾐﾙｸﾃｨｰ900ML     ,
20231226,523500,236934,敷島製パン㈱　　　　　　　　　　　　　　　　　　　,031929,1,4901820466976,1,ＬＷ　牛乳パン　栃木県産とちおとめ苺　　　　,14002,1,0,6976,LWｷﾞｭｳﾆｭｳﾊﾟﾝﾄﾁｵﾄﾒｲﾁｺﾞ ,
20231226,126608,221449,㈱ＳＣＩ（サンデリカ千葉）　　　　　　　　　　　　,032163,1,2303216300000,14,ボリュームバラエティサンド　　　　　　　　　,02003,20,0,2163,ﾎﾞﾘｭｰﾑﾊﾞﾗｴﾃｨｻﾝﾄﾞ      ,
20231226,126608,221449,㈱ＳＣＩ（サンデリカ千葉）　　　　　　　　　　　　,032314,1,2303231400000,14,盛りすぎ！ジューシーハムサンド　　１５日１便,02003,1,0,2314,ﾓﾘｽｷﾞ!ｼﾞｭｰｼｰﾊﾑ   15ﾆﾁ1,
20231226,126608,221449,㈱ＳＣＩ（サンデリカ千葉）　　　　　　　　　　　　,032436,1,2303243600000,14,盛りすぎ！ジューシーハムサンド　　１６日１便,02003,1,0,2436,ﾓﾘｽｷﾞ!ｼﾞｭｰｼｰﾊﾑ   16ﾆﾁ1,
20231226,126608,221449,㈱ＳＣＩ（サンデリカ千葉）　　　　　　　　　　　　,032440,1,2303244000000,14,盛りすぎ！ジューシーハムサンド　　１７日１便,02003,1,0,2440,ﾓﾘｽｷﾞ!ｼﾞｭｰｼｰﾊﾑ   17ﾆﾁ1,
20231226,126608,221449,㈱ＳＣＩ（サンデリカ千葉）　　　　　　　　　　　　,032554,1,2303255400000,14,盛りすぎ！ジューシーハムサンド　　１８日１便,02003,1,0,2554,ﾓﾘｽｷﾞ!ｼﾞｭｰｼｰﾊﾑ   18ﾆﾁ1,
20231226,126420,251496,㈱ＳＣＩ（サンデリカ野田）　　　　　　　　　　　　,032576,1,2303257600000,14,Ｌたまごサンド　　　　　　　　　　　　　　　,02007,25,0,2576,ﾀﾏｺﾞｻﾝﾄﾞ              ,
20231226,126608,221449,㈱ＳＣＩ（サンデリカ千葉）　　　　　　　　　　　　,032605,1,2303260500000,14,盛りすぎ！ジューシーハムサンド　　１９日１便,02003,1,0,2605,ﾓﾘｽｷﾞ!ｼﾞｭｰｼｰﾊﾑ   19ﾆﾁ1,
20231226,119032,200310,三菱食品㈱　（アクセス）　　　　　　　　　　　　　,033084,1,4580455816860,1,コメダまろやかミルクコーヒー　２９０ｍｌ　　,12009,10,0,6860,ｺﾒﾀﾞﾏﾛﾔｶﾐﾙｸｺｰﾋｰ       ,
20231226,126951,218863,㈱ＳＣＩ（日本クッカリー厚木）　　　　　　　　　　,033277,1,2303327700000,14,のり弁当　　　　　　　　　　　　　　　　　　,01001,16,0,3277,ﾉﾘﾍﾞﾝﾄｳ               ,
20231226,119032,200310,三菱食品㈱　（アクセス）　　　　　　　　　　　　　,034038,1,4580455816945,1,ゼルダの伝説ツルギバナナオレ　１８０ｍｌ　　,12009,12,0,6945,ｾﾞﾙﾀﾞﾉﾃﾞﾝｾﾂﾂﾙｷﾞﾊﾞﾅﾅｵﾚ ,
20231226,118931,271543,三菱食品㈱　　　　　　　　　　　　　　　　　　　　,034275,1,4932707234067,1,ＵＣこだわりのミルクティー　　２４０ｍｌ　　,12009,12,0,4067,UCｺﾀﾞﾜﾘﾉﾐﾙｸﾃｨｰ        ,
20231226,121908,743984,㈱ＳＣＩ（フレッシュダイナー）　　　　　　　　　　,034283,1,2303428300000,14,手巻寿司ねぎとろ　　　　　　　　　　　　　　,01005,40,0,4283,ﾃﾏｷｽｼﾈｷﾞﾄﾛ            ,
20231226,122785,236381,雪印メグミルク㈱　関東　　　　　　　　　　　　　　,034284,1,4549737075968,1,●ドール１００％アップル　２００ｍｌ特別原価,12002,18,18,5968,***ﾄﾞｰﾙ100%ｱｯﾌﾟﾙ      ,
20231226,126616,221121,㈱ＳＣＩ（サンデリカ町田）　　　　　　　　　　　　,035339,1,2303533900000,14,●◇Ｌツナ＆たまごサンド　　　　　　　　　　,02007,30,0,5339,ﾂﾅ&ﾀﾏｺﾞｻﾝﾄﾞ           ,
20231226,122785,236381,雪印メグミルク㈱　関東　　　　　　　　　　　　　　,035367,1,4908011709171,1,●雪印　３９品目の野菜＆フルーツ４５０ｍｌ　,12002,20,0,9171,ﾕｷｼﾞﾙｼ 39ﾋﾝﾓｸﾉﾔｻｲ&ﾌﾙｰﾂ,
20231226,122785,236381,雪印メグミルク㈱　関東　　　　　　　　　　　　　　,035453,1,4549737075975,1,●ドール１００％オレンジ　２００ｍｌ特別原価,12002,18,18,5975,***ﾄﾞｰﾙ100%ｵﾚﾝｼﾞ      ,
20231226,123609,236080,森永乳業㈱東京支社　　　　　　　　　　　　　　　　,035682,1,4549737076026,1,すッパイチュウレモン味　　　　２０本　　　　,12009,10,10,6026,*20*ｽｯﾊﾟｲﾁｭｳﾚﾓﾝｱｼﾞ    ,
20231226,123609,236080,森永乳業㈱東京支社　　　　　　　　　　　　　　　　,035833,1,4549737043523,1,飲むＭＯＷバニラ　　　　　　　２０本　　　　,12009,10,10,3523,*20*ﾉﾑﾓｳﾊﾞﾆﾗ          ,
20231226,119032,236071,三菱食品㈱　（アクセス）　　　　　　　　　　　　　,036018,1,4909411089191,1,●おいしい免疫ケアカロリーオフ３０本　　　　,12003,30,30,9191,*30*ｵｲｼｲﾒﾝｴｷｹｱ ｶﾛﾘｰｵﾌ ,
20231226,119032,236071,三菱食品㈱　（アクセス）　　　　　　　　　　　　　,036254,1,4521664000000,2,●キリンおいしい免疫ケアカロリオフ１００ｍｌ,12003,30,0,6640,ｷﾘﾝ ｵｲｼｲﾒﾝｴｷｹｱ ｶﾛﾘｰｵﾌ ,
20231226,122785,236381,雪印メグミルク㈱　関東　　　　　　　　　　　　　　,036292,1,4908011709126,1,●ドールＪｕｉｃｙＰｌｕｓ鉄分　３３０ｍｌ　,12002,12,0,9126,ﾄﾞｰﾙJUICYPLUSﾃﾂﾌﾞﾝ    ,
20231226,126420,251496,㈱ＳＣＩ（サンデリカ野田）　　　　　　　　　　　　,036325,1,2303632500000,14,●Ｌ肉サンド　パストラミビーフ　　　　　　　,02007,15,0,6325,ﾆｸｻﾝﾄﾞ ﾊﾟｽﾄﾗﾐﾋﾞｰﾌ     ,
